,0,type,content,3,4,5,6,7,8,9,10,11,12,13
303,10085.json,0,"four mount rushmor , independ one critic point career .","elections,history",larry-pressler,Candidate for U.S. Senate,South Dakota,independent,0,1,0,0,0,a campaign forum
304,5824.json,0,didnt go ask peopl join stand ground task forc .,"crime,public-safety",jennifer-carroll,Lieutenant governor,Florida,republican,0,1,0,0,1,Capitol news conference
305,5753.json,1,rhode island export increas <num> percent last two year .,"economy,states,trade",lisa-tomasso,State Representative,Rhode Island,democrat,0,0,0,0,0,a news release.
306,5512.json,0,giant compani like toyota locat state pass right-to-work law,"corporations,economy,jobs,labor,unions",stephen-laffey,farmer,Colorado,republican,0,1,0,0,0,a radio interview
307,125.json,1,mitt romney boast `` proud major candid presid sign tax pledg . other . '',taxes,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a radio ad.
308,6010.json,0,"<num> ( voter registr ) group , rang across entir polit spectrum , file state regist voter right .",elections,lenny-curry,chairman of the Republican Party of Florida,Florida,republican,2,1,2,0,0,"an ""Orlando Sentinel"" opinion piece"
309,727.json,1,"barack obama got campaign contribut fanni mae freddi mac `` member congress , except democrat chairmen committe overse . ''",ethics,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"Green Bay, Wis."
310,42.json,0,brought crime anyon countri -- mayb histori countri -- mayor new york citi . -,crime,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a debate in Orlando, Fla."
311,8511.json,0,plan group said meet anticip traffic demand <num> interst <num> austin round rock need dozen addit lane go north <num> addit southbound lane .,transportation,sid-covington,"Chairman, Lone Star Rail District",Texas,none,0,0,1,0,0,"an opinion column by Sid Covington, the district's chairman of the board"
312,6262.json,0,foreign chines prostitut money alleg behind group fund congressman sean duffi republican major .,campaign-finance,democratic-congressional-campaign-committee,,,democrat,11,8,5,1,9,a news release
313,9502.json,1,unit state develop countri world without paid matern leav .,"jobs,women,workers",barack-obama,President,Illinois,democrat,70,71,160,163,9,an op-ed for Huffington Post
314,11351.json,1,voucher school close <num> day year collect $ <num> million taxpay subsidi sinc first open .,state-budget,jennifer-shilling,"State Assembly member, 95th District",Wisconsin,democrat,1,1,0,2,0,a tweet
315,8558.json,0,rhode island unemploy insur system expens system countri .,"economy,government-efficiency,government-regulation,small-business,state-budget,state-finances,states,taxes,workers",kenneth-block,businessman,,republican,0,3,2,3,0,an interview on Rhode Island Public Radio
316,12084.json,1,"say youtub video show thoma dimassimo , man rush trump ohio ralli , drag american flag ground like piec garbag .",elections,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"Donald Trump on Sunday, March 13th, 2016, in an interview on ""Meet the Press"""
317,568.json,1,"obama work `` sen. dick lugar , republican , help lock loos nuclear weapon . ''",military,barack-obama,President,Illinois,democrat,70,71,160,163,9,a television ad
318,7537.json,0,"unit state spend $ <num> billion free cell phone , $ <num> million moroccan potteri class pay travel expens watermelon queen alabama .","agriculture,federal-budget,foreign-policy,poverty",sean-duffy,Member of the U.S. House,Wisconsin,republican,5,1,6,1,2,an interview
319,9708.json,0,unit state histor record high individu apprehend border countri terrorist tie pakistan afghanistan syria .,"afghanistan,immigration,terrorism",rick-perry,Governor,Texas,republican,30,30,42,23,18,"comments on CNN's ""State of the Union"""
320,7524.json,0,transport packag pass general assembl would impos largest tax increas virginia histori .,taxes,jamie-radtke,,Virginia,republican,1,1,1,2,0,a website post.
321,4537.json,1,home state sinc <date> creat <num> percent new job america .,jobs,rick-perry,Governor,Texas,republican,30,30,42,23,18,a speech
322,8549.json,0,"onion creek highest flow rate recent night flood <num> cubic feet per second , near doubl averag flow rate niagara fall .","corrections-and-updates,water",city-austin,,Texas,none,1,0,0,0,0,a press release
323,11736.json,0,"governor florida , use combin strategi help reduc heroin use among youth florida approxim <num> percent .","drugs,health-care,public-health",jeb-bush,,Florida,republican,17,5,17,24,2,a column posted on Medium
324,8062.json,0,"say last year <num> million ( health insur ) rebat went , <num> state . anoth <num> ( million ) rebat sent summer , averag around <num> buck .",health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech at the White House
325,3158.json,1,say state budget provid increas state fund <num> - <num> school year .,"education,state-budget",john-kitzhaber,Governor of Oregon,Oregon,democrat,1,1,4,4,0,an e-mail
326,10794.json,0,"say estat tax , mani case , forc famili farmer small busi owner sell hold .","agriculture,families,small-business,taxes",robert-hurt,U.S. Congressman,Virginia,republican,2,4,1,0,0,a statement.
327,12461.json,1,sayvideo show massiv allig stroll across florida golf cours .,animals,blog-posting,,,none,7,19,3,5,44,Internet posts
328,8609.json,0,whether peopl keep insur afford care act .,health-care,kurt-schrader,U.S. representative,Oregon,democrat,0,1,3,0,0,a TV interview.
329,63.json,1,"re spend $ <num> billion latin america term aid assist , fraction re spend iraq , $ <num> billion ve spent",foreign-policy,chris-dodd,U.S. senator,Connecticut,democrat,0,0,3,3,0,"a debate in Miami, Fla."
330,6560.json,1,"look number illeg immigr come countri , net zero . way almost two year .",immigration,jeb-bush,,Florida,republican,17,5,17,24,2,an interview on 'Meet the Press.'
331,3546.json,0,weve introduc bill includ $ <num> billion cut next week .,federal-budget,john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a public statement
332,3036.json,0,wisconsin lawsuit rule anti-busi state system one promiscu america .,"legal-issues,small-business",national-federation-independent-business-wiscons,,Wisconsin,none,0,1,0,0,0,a news release
333,11910.json,0,"say joseph stalin said want bring america , undermin three thing : spiritu life , patriot moral .",foreign-policy,ben-carson,,,republican,7,12,3,2,4,a GOP debate on CBS
334,4101.json,1,", pay russian $ <num> million astronaut send american space station",space,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,an interview with CBS
335,10175.json,1,"gender gap support uniqu there huge gap republican presidenti , gubernatori us senat elect recent year .","elections,women",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,an interview
336,4593.json,0,bryce reev chair group bankrol new york billionair fire hundr virginia worker sent job china .,"china,jobs,message-machine-2012",edd-houck,,Virginia,democrat,0,1,0,0,0,a TV ad.
337,5985.json,0,<num> alabama massachusett pass legisl allow non-citizen legal resid vote state local elect .,"elections,legal-issues",anastasia-williams,State representative in Rhode Island,Rhode Island,democrat,0,1,0,0,0,a House Judiciary Committee hearing
338,1881.json,0,"across countri , half u.s. attorney seat remain without prosecutor chosen obama .",legal-issues,thomas-melsheimer,Attorney,Texas,democrat,1,0,0,0,0,an op-ed article
339,204.json,0,red sox wait <num> long year win world seri .,"baseball,recreation",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a debate in St. Petersburg
340,10091.json,1,almost everi state offer insur plan health exchang cover abort .,"abortion,health-care,women",Rhode_Island_Catholic,,Rhode Island,none,0,0,0,0,0,a newspaper editorial
341,1409.json,0,"largest tax increas ever state busi margin tax sign , governor .","corporations,economy,small-business,taxes",kay-bailey-hutchison,U.S. Senator,Texas,republican,2,4,4,3,0,in a Republican gubernatorial debate
342,2769.json,1,georgia second-highest rate childhood obes unit state .,children,childrens-healthcare-atlanta,,,none,0,0,0,0,0,a press release
343,2600.json,1,"say tom ganley su <num> time , fraud , discrimin , judg call tom ganley busi practic decept unconscion .","job-accomplishments,message-machine",betty-sutton,U.S. representative from Ohio's 13th District,Ohio,democrat,0,2,1,2,1,a television campaign ad
344,4822.json,0,recal elect wisconsin governor would cost $ <num> million -- $ <num> million may alreadi alloc merit rais teacher health care poor school book kid .,"education,elections,health-care,state-budget",rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,1,3,4,0,1,a video
345,5536.json,0,say plan properti tax cut .,"state-budget,taxes",stephen-sweeney,State Senator,,democrat,1,2,3,1,0,an interview on NJToday
346,2911.json,0,give almost $ <num> billion taxpay money junk food fast food industri everi year make ( childhood obes ) epidem wors .,"consumer-safety,food-safety,health-care,taxes",dennis-kucinich,U.S. representative,Ohio,democrat,1,3,4,6,0,a news release
347,12787.json,0,one american flag massiv stage democrat nation convent peopl start complaining- small one . pathet .,patriotism,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet
348,2442.json,0,bill earl blumenau would mandat gps track devic vehicl .,"privacy,transportation",delia-lopez,Real estate investor,Oregon,republican,0,0,0,0,1,a statement on campaign website
349,3489.json,0,"prosecutor , wisconsin suprem court justic david prosser investig file charg case involv <num> -year pedophil priest , particip cover-up .",legal-issues,greater-wisconsin-political-fund,,Wisconsin,none,3,3,3,1,1,a TV ad
350,12006.json,0,preced nomin someon u.s. suprem court middl presidenti elect .,"congress,history,legal-issues,supreme-court",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,an interview
351,9109.json,0,health insur medic cost go obamacar .,"elections,health-care",ed-schultz,MSNBC television host,,none,3,1,4,1,2,"a broadcast of ""The Ed Show"""
352,12661.json,1,"war drug led <num> percent increas incarcer countri , disproportion affect poor disproportion affect minor .",crime,cory-booker,U.S. senator,New Jersey,democrat,0,4,2,8,0,"an interview on ""Meet the Press"""
353,6447.json,0,say texa gop platform call end teach critic think public school .,education,gail-collins,Columnist for the New York Times,New York,journalist,2,1,1,3,0,in her New York Times column
354,2983.json,1,four <num> homicid commit gun citi .,"crime,guns",sam-adams,Mayor of Portland,Oregon,democrat,3,2,5,2,0,a city council meeting
355,13467.json,0,pictur show former presid bill clinton nake anoth woman .,fake-news,political-insider,,,none,0,0,0,0,1,a post on their website
356,921.json,0,"disagr need action govern , recoveri plan help jump-start economi .","economy,stimulus",barack-obama,President,Illinois,democrat,70,71,160,163,9,a news conference
357,9141.json,0,want individu mandat ... tick box say hardshipand your .,health-care,charles-krauthammer,,,none,1,0,1,0,0,"an interview on ""The O'Reilly Factor"""
358,12648.json,0,"mani nevadan reli uber work , accept $ <num> taxi compani , catherin cortez masto went uber ... ( drive ) town .",transportation,freedom-partners-action-fund,,,organization,1,1,1,0,0,a television ad
359,3674.json,0,say probabl cost $ <num> run seat pedernal electr cooper board director .,"elections,energy",troy-fraser,"Businessman, investor",Texas,republican,0,0,0,0,1,a Texas Senate committee hearing.
360,6577.json,0,"last month , <num> <num> state saw increas unemploy rate .","economy,jobs,states",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a speech to the Republican National Convention in Tampa
361,8240.json,0,wind power undepend form renew energi .,"economy,energy,environment,science,technology",james-oneil,attorney,Rhode Island,democrat,0,1,0,0,0,"an appearance on ""10 News Conference."""
362,9405.json,1,charli crist allow colleg tuition increas <num> percent everi year .,"education,state-budget",rick-scott,Governor,Florida,republican,28,23,38,34,7,a campaign commercial
363,1892.json,1,hous never fail pass budget modern era .,"federal-budget,abc-news-week",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,"an interview on ABC's ""This Week''"
364,2754.json,0,mr. renacci regist foreign trade lobbyist unit state govern .,"campaign-advertising,trade",john-boccieri,Former member of Congress,Ohio,democrat,0,0,1,0,0,a debate
365,31.json,1,"tommi thompson creat first school choic program nation , give thousand milwauke student choic go school matter live much money parent make .",education,tommy-thompson,,Wisconsin,republican,6,8,2,5,3,his campaign Web site.
366,4711.json,1,say main central texa food bank deliv <num> percent food poor three year ago .,"economy,poverty",lloyd-doggett,Texas congressman in the U.S. Houst of Representatives,Texas,democrat,1,0,2,7,0,a speech delivered to U.S. House of Representatives.
367,664.json,0,mccain `` still think 's okay women n't earn equal pay equal work . '',legal-issues,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a speech at the Democratic National Convention.
368,1199.json,1,baucus bill `` contain provis would send massiv feder subsidi direct privat insur plan government-chart cooper pay elect abort . '',"abortion,health-care",national-right-life-committee,,,none,1,2,1,0,0,a press release
369,11865.json,0,gene green nras favorit democrat congress . ... wonder congressman lifetim rate nra .,guns,adrian-garcia,29th Congressional District candidate,Texas,democrat,1,0,0,0,0,a campaign news release
370,87.json,1,obama `` health care <num> peopl . '',health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,
371,9312.json,1,"cbo say rais minimum wage $ <num> hour , half million peopl would lose job .","economy,jobs",rick-santorum,,Pennsylvania,republican,12,16,13,7,5,"comments on CNN's ""State of the Union."""
372,10638.json,0,state lawmak spend taxpay money park billionair arthur blank could build pay state employe littl food stamp .,"economy,poverty,sports,state-budget,state-finances,transparency",tyrone-brooks,State representative,Georgia,democrat,0,0,1,0,0,a statement
373,3021.json,1,state govern littl abil stimul job growth short run .,economy,david-wyss,,,none,0,0,0,0,0,a newspaper article
374,379.json,1,( obama ) chair subcommitte europ . ... 's held one substant hear oversight .,foreign-policy,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a debate in Cleveland
375,5272.json,0,say u.s. feder incom tax rate <num> percent <num>,"history,taxes",ron-paul,U.S. representative,Texas,republican,5,8,8,8,3,a Republican presidential debate in South Carolina
376,683.json,1,sarah palin `` alreadi execut experi '' barack obama joe biden `` combin . '',candidates-biography,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"St. Paul, Minn."
377,1781.json,1,"texa , , highest share minimum-wag worker nation .",workers,linda-chavez-thompson,Labor organizer,Texas,democrat,0,0,0,0,0,a speech to the Central Texas Democratic Forum
378,11687.json,1,"two month ago , donald trump said isi fight .","foreign-policy,terrorism",jeb-bush,,Florida,republican,17,5,17,24,2,a GOP debate on CNN
379,2975.json,0,"say averag , democrat congression district receiv <num> percent stimulus fund republican district .",stimulus,kay-bailey-hutchison,U.S. Senator,Texas,republican,2,4,4,3,0,an op-ed piece.
380,771.json,0,support john mccain 's militari strategi pretti adam race .,iraq,sarah-palin,,Alaska,republican,9,19,9,6,6,St. Louis
381,3991.json,0,say critic say cut medicaid wrong ; budget ad $ <num> billion program,"medicaid,state-budget,state-finances",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a television interview
382,11923.json,0,say work rais feder minimum wage back highest level ever $ <num> hour today dollar .,"economy,jobs,workers",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a column posted on Medium.com
383,10749.json,0,$ <num> famili snap ( i.e . food stamp ) live week .,"federal-budget,hunger",gwyneth-paltrow,Actress,California,democrat,1,0,0,0,0,a tweet
384,3946.json,0,medford water commiss fine $ <num> dump plain drink water stream .,"environment,government-regulation,water",doug-whitsett,state senator,Oregon,republican,0,1,1,1,0,a legislative hearing
385,7834.json,1,noth constitut explicit guarante right vote .,"elections,legal-issues,supreme-court",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,a speech
386,6290.json,0,sherrod brown special interest alli washington plot spend $ <num> million defeat josh mandel .,"campaign-finance,elections",ohio-republican-party,,Ohio,republican,2,2,2,1,0,an emailed statement
387,1477.json,0,"new dollar coin , `` in god trust ' gone ! ''",patriotism,chain-email,,,none,11,43,8,5,105,a message circulated to many people.
388,10881.json,1,say gov . scott walker propos state budget contain <num> page error -- unusu high number -- million dollar worth mistak correct follow-up document .,state-budget,chris-taylor,,,democrat,1,0,0,1,0,a press release
389,4396.json,1,take credit substanti reduc size state workforc .,"job-accomplishments,jobs",george-allen,consultant,Virginia,republican,2,8,3,4,1,campaign literature.
390,6206.json,1,"look poll , margin-of-error race fourth juli mitt romney presid .","elections,polls",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,an interview on CNBC
391,9970.json,1,"last <num> year , georgia middl class incom drop $ <num>","census,income",jason-carter,State Senator,Georgia,democrat,1,0,2,1,0,television ad
392,4353.json,1,root red sox like root drug compani .,baseball,sherrod-brown,U.S. Senator,Ohio,democrat,3,4,5,8,1,an appearance on MSNBC
393,1394.json,0,"say rick perri pay play polit led send $ <num> million offshor call center bermuda , drive enrol children health insur",health-care,texas-democratic-party,Political party,Texas,democrat,0,1,0,2,0,news release
394,7695.json,1,allow vote univers gun background check u.s. senat .,guns,johnny-isakson,U.S. Senator,Georgia,republican,2,3,3,2,0,
395,4770.json,0,"presid barack obama , nanci pelosi harri reid support rick perri decis give in-stat tuition illeg immigr .","education,immigration",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a campaign video.
396,1052.json,1,obama czar romanov .,pop-culture,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,a Twitter message
397,5249.json,0,gov . mcdonnel propos budget cut public educ .,"city-budget,county-budget,education,pensions,state-budget",donald-mceachin,State senator,Virginia,democrat,0,1,0,0,0,a speech.
398,3700.json,0,[ bank ] surveil camera captur crimin face identifi trait would certain discourag robberi attempt serv deterr robber .,"crime,criminal-justice",stephen-ucci,Rhode Island legislator,Rhode Island,democrat,0,1,0,0,0,a news release
399,8683.json,1,"medicar cost slow dramat . fact , first two month fiscal year , medicar cost even nomin term relat previous year .","federal-budget,health-care,medicare",peter-orszag,Director of the Office of Management and Budget,,democrat,0,1,0,0,0,"an interview on CNN's ""State of the Union"""
400,12798.json,0,say donald trump mike penc want gambl retir benefit stock market .,"retirement,social-security",harry-reid,Senate Democratic Leader,Nevada,democrat,4,5,3,7,3,a speech at the DNC
401,4838.json,0,u.s. rep. conni mack vote rais pay sever time .,"congressional-rules,federal-budget,income",george-lemieux,,Florida,republican,4,1,6,4,0,a press release
402,7680.json,1,poll done year ... show less major reinstat feder ban assault weapon .,"guns,polls",dianne-feinstein,U.S. Senator,California,democrat,1,1,0,4,0,a speech on the Senate floor
403,1999.json,1,spent virtual everi weekend sinc memori day panhandl .,oil-spill,charlie-crist,,Florida,democrat,15,9,20,19,2,a speech at the Florida Association of Counties conference
404,12873.json,0,"<num> elect , vote cast regist voter st. luci counti , palm beach counti <num> percent turnout .",elections,viral-image,,,none,5,5,0,3,15,a viral image
405,9683.json,0,im conspiraci theorist never allow conspiraci theorist program .,pundits,peter-lavelle,Crosstalk host on RT,,journalist,0,0,0,0,1,"a segment on RT's ""CrossTalk"""
406,6660.json,1,say romney call russia . <num> enemi .,foreign-policy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a convention speech
407,13527.json,0,there conclus specif report say russia tri muddi elect .,"elections,foreign-policy",reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2,12,8,3,1,"comments on ""Meet the Press"""
408,2626.json,0,say christoph littl histori work environment protect defend worst type corpor pollut,"candidates-biography,elections,environment,legal-issues",edwin-pacheco,Democratic party chairman,Rhode Island,democrat,0,1,0,0,0,a press release from the Rhode Island Democratic Party
409,2814.json,0,"john kasich say , despit <num> visit presid , somewher $ <num> ( million ) $ <num> million ( spent , ) <num> paid volunt call everi name book , former presid , first ladi god-knows-who-els .",elections,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a speech to lobbyists
410,7598.json,0,"oppon section <num> ( vote right act ) complain state expens , yet cost paper , postag manpow requir send copi legisl feder govern review .","elections,supreme-court",john-lewis,Congressman,Georgia,democrat,0,1,2,1,0,newspaper column
411,2746.json,0,say nick kahl made harder mani famili cover basic health care expens .,"health-care,taxes",matt-wand,Attorney,Oregon,republican,2,0,0,0,0,a campaign mailer
412,12448.json,0,"california , windmil kill hundr hundr eagl .","energy,environment",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech on energy policy
413,3232.json,1,"noth current state public record law prohibit sensit confidenti busi inform , confidenti .","government-efficiency,jobs",matt-lundy,State representative,Ohio,democrat,0,0,0,0,0,a news release
414,11226.json,1,even feder incom tax countri <num>,"history,taxes",jim-webb,writer,Virginia,democrat,1,0,1,5,0,a web post.
415,487.json,0,"white hous swing state , win swing state .",elections,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a speech in Charleston, W.Va."
416,6858.json,1,"say oppon u.s. rep. gwen moor wisconsin absent member congress , miss near <num> percent hous vote second quarter <num>",voting-record,dan-sebring,Auto repair shop owner,Wisconsin,republican,0,0,0,1,0,a radio ad
417,8701.json,0,say gov . scott walker drop kick colleg short degre long kick student elect marquett univers .,"candidates-biography,education",state-democratic-party-wisconsin,,Wisconsin,democrat,5,7,2,2,7,a web posting
418,10606.json,0,elimin affirm action admiss florida led african american hispan kid attend univers system .,education,jeb-bush,,Florida,republican,17,5,17,24,2,a CPAC appearance
419,9016.json,0,"come transport fund , georgian spend tax red tape get back feder govern .","taxes,transportation",tom-graves,,,republican,1,0,5,0,1,a speech
420,2371.json,0,feder stimulus money went georgia tech project appar involv professor jam world-renown musician hope also creat satisfi work art .,stimulus,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,a report
421,12065.json,1,u.s. doesnt make televis set anymor .,"technology,trade",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a campaign speech
422,2362.json,1,"republican - includ mr. boehner - charg , number earmark pet project went , .",federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a speech in Cleveland, Ohio."
423,2868.json,0,wisconsin project state budget shortfal low $ <num> billion,state-budget,jim-doyle,Lawyer,Wisconsin,democrat,1,1,1,1,0,a statutorially required report on the state budget deficit
424,13305.json,1,heroin .. pour across southern border .,drugs,donald-trump,President-Elect,New York,republican,63,114,51,37,61,the third presidential debate
425,8503.json,1,republican wave <num> democrat advantag generic ballot congress . even <num> gingrich revolut ... democrat advantag .,elections,jonathan-karl,ABC News chief White House correspondent,,journalist,0,0,0,0,0,"a conversation on ABC's ""This Week"""
426,2428.json,0,roy barn made georgia dead last educ georgia led nation job loss .,"economy,education,message-machine",republican-governors-association,,"Washington, D.C.",republican,5,1,6,4,2,a television ad
427,636.json,1,sen. mccain alreadi turn sight iraq day <num> / <num> becam lead support invas occup ( iraq ) .,iraq,barack-obama,President,Illinois,democrat,70,71,160,163,9,"Orlando, Fla."
428,5758.json,0,"labor negoti citi employe , milwauke mayor tom barrett demand concess went beyond mandat gov . scott walker collect bargain law","city-budget,labor",afscme,,,none,3,1,2,3,0,a letter to members
429,2793.json,1,"say hes arrest crimin , includ thousand child predat sex offend , previous texa attorney general .","crime,criminal-justice,job-accomplishments,public-safety",greg-abbott,governor,Texas,republican,11,3,8,6,5,a campaign television ad
430,9426.json,1,"brazil built $ <num> million stadium amazon rainforest go use four world cup game , there team fill afterward .",sports,john-oliver,"Host, Last Week Tonight",,none,0,0,2,4,0,"a segment on ""Last Week Tonight"""
431,5898.json,0,"sourc show ( conni ) mack resid california , live wife palm spring .",candidates-biography,george-lemieux,,Florida,republican,4,1,6,4,0,a Web ad
432,11218.json,1,armi cut <num> spot .,military,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a speech at the Iowa State Fair
433,12703.json,1,"south sudan , teenag girl die childbirth finish high school .","education,foreign-policy,poverty,public-health,women",unicef,,,none,0,0,0,1,0,an article on Medium
434,5462.json,0,"say ohio rep. marci kaptur actual live fanci condo washington , d.c. suburb .","congress,elections,job-accomplishments,message-machine-2012",campaign-primary-accountability,Political action committee,Texas,none,0,1,0,0,0,a campaign commercial
435,1955.json,0,u.s. rep. jim langevin n't want border fenc block illeg immigr `` afraid someon get hurt tri go around fenc . '',"homeland-security,human-rights,immigration",michael-j-gardiner,Lawyer,Rhode Island,republican,1,1,0,0,1,a posting on his website
436,11647.json,1,"despit attent global warm , fewer american carpool today work carpool <num> suv never larger proport vehicl sold countri .","climate-change,environment,transportation",george-will,Columnist,Maryland,columnist,7,6,3,5,1,a TV talk show
437,11139.json,1,"say <num> hispan vote anglo vote , <num> percent state .","candidates-biography,diversity,elections",jeb-bush,,Florida,republican,17,5,17,24,2,a Telemundo News interview
438,1648.json,1,"lot idea term ( health insur ) exchang , abl pool improv purchas power individu insur market , origin heritag foundat .",health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,an interview on NBC's Today show
439,5371.json,0,say mitt romney support cap trade .,"cap-and-trade,climate-change,corrections-and-updates,message-machine-2012",rick-santorum,,Pennsylvania,republican,12,16,13,7,5,a video ad airing in Michigan
440,4425.json,0,sinc begin year weve creat net increas <num> job .,"economy,jobs",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a television interview
441,2498.json,1,texa higher unemploy rate neighbor state .,economy,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,an e-mail
442,4131.json,1,state elect board issu near $ <num> fine violat absente ballot law .,elections,brian-kemp,Secretary of State,Georgia,republican,0,2,0,0,0,
443,2341.json,1,support arent special interest group madison milwauke .,campaign-finance,mark-neumann,Developer and homebuilder,Wisconsin,republican,2,4,1,2,1,a campaign radio ad
444,5551.json,0,"<num> state employe ad state payrol , oregon revenu forecast drop $ <num> billion .","state-budget,state-finances",dennis-richardson,state representative,Oregon,republican,0,4,1,2,0,a newsletter
445,757.json,0,john mccain fought rein fanni freddi ... democrat block reform .,economy,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,an advertisement
446,11519.json,1,"dark money spend <num> elect cycl <num> time point <num> elect cycl , top $ <num> million .","campaign-finance,congress,elections",tammy-baldwin,U.S. Representative,Wisconsin,democrat,5,5,7,4,0,a campaign email
447,5785.json,0,say upcom vote preserv benefit texa homestead exempt senior disabl .,"elections,taxes",chain-email,,,none,11,43,8,5,105,a chain email forwarded by an Austin American-Statesman reader.
448,2284.json,0,govern tri close lincoln memori kind larg gather .,"civil-rights,pundits",glenn-beck,,,none,5,7,7,2,6,comments on his radio program
449,12650.json,0,know ( saddam hussein ) well ? kill terrorist .,"foreign-policy,terrorism",donald-trump,President-Elect,New York,republican,63,114,51,37,61,"a rally in Raleigh, N.C."
450,9480.json,0,averag age minimum wage worker <num> year old .,"corporations,economy,government-regulation,income,labor,poverty,states,wealth,workers",erin-lynch,"Rhode Island state senator, lawyer",Rhode Island,democrat,1,0,0,0,0,a speech on the floor of the Rhode Island Senate
451,643.json,0,say mccain `` support georg bush 's polici <num> percent time . '',bush-administration,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"a rally in Springfield, Ill."
452,11242.json,1,american die gun unit state sinc <num> battlefield war american histori .,"guns,military",nicholas-kristof,,,none,0,1,0,2,0,his column in the New York Times
453,7038.json,1,"war coal . period . coal job coal produc ohio five year ago , spite talk point yard sign .","economy,energy,environment,jobs",sherrod-brown,U.S. Senator,Ohio,democrat,3,4,5,8,1,a debate
454,6772.json,0,say one state largest govern made charg tax one top prioriti year .,"message-machine-2012,taxes",Yes-on-79,,Oregon,none,0,0,1,0,1,a state voters' pamphlet argument
455,7952.json,0,immigr bill specif provis say secretari napolitano build fenc choos .,immigration,jeff-sessions,,Alabama,republican,2,2,2,1,0,an interview on CBS’ “Face the Nation”
456,13134.json,0,say donald trump public invit putin hack american ( email ) .,"civil-rights,crime,foreign-policy,homeland-security,technology",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a Presidential debate
457,2181.json,0,"congression budget offic estim everi $ <num> spend unemploy benefit , $ <num> put economi .","economy,federal-budget,stimulus,taxes",james-langevin,Congressman,Rhode Island,democrat,1,1,2,1,0,an online forum on ProJo.com
458,9629.json,1,"syria , struck deal got <num> percent chemic weapon .",foreign-policy,john-kerry,Secretary of State,Massachusetts,democrat,3,2,2,5,0,"comments on NBC's ""Meet the Press"""
459,3668.json,0,redistrict .,redistricting,richard-saslaw,State Senate Minority Leader,Virginia,democrat,2,3,0,0,1,an interview.
460,11327.json,1,"three-hour debat , discuss nation debt , littl economi .","debates,elections",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,"an interview on ""This Week."""
461,3818.json,1,obama-nelson econom record : job creation ... slowest post-recess rate sinc great depress .,"economy,jobs",adam-hasner,,Florida,republican,2,1,4,4,0,a tweet
462,2218.json,0,"say democrat hank gilbert crimin convict theft , multipl year unpaid tax , multipl tax lien fine , unsaf drive convict ( ) recent accus take bribe record lie press year crimin record .","candidates-biography,crime",todd-staples,state agriculture commissioner,Texas,republican,0,1,4,3,1,a consultant's e-mail to PolitiFact Texas.
463,11562.json,0,"trans-pacif partnership design china come , alway , back door total take advantag everyon .","china,trade",donald-trump,President-Elect,New York,republican,63,114,51,37,61,the fourth GOP primary debate.
